Player,Age,Position,Nation,Team,Value
Danilo,32,Centre-Back,Brazil,Juventus FC,10.7
Daniele Rugani,29,Centre-Back,Italy,Juventus FC,4.28
Andrea Cambiaso,24,Left-Back,Italy,Juventus FC,26.75
Alex Sandro,33,Left-Back,Brazil,Juventus FC,2.14
Mattia De Sciglio,31,Right-Back,Italy,Juventus FC,1.07
Manuel Locatelli,26,Defensive Midfield,Italy,Juventus FC,29.96
Adrien Rabiot,29,Central Midfield,France,Juventus FC,37.45
Weston McKennie,25,Central Midfield,United States,Juventus FC,29.96
Fabio Miretti,20,Central Midfield,Italy,Juventus FC,16.05
Nicolò Fagioli,23,Central Midfield,Italy,Juventus FC,16.05
Carlos Alcaraz,21,Central Midfield,Argentina,Juventus FC,16.05
Hans Nicolussi Caviglia,24,Central Midfield,Italy,Juventus FC,3.21
Paul Pogba,31,Central Midfield,France,Juventus FC,0.0
Timothy Weah,24,Right Midfield,United States,Juventus FC,12.84
Samuel Iling-Junior,20,Left Midfield,England,Juventus FC,13.91
Filip Kostić,31,Left Midfield,Serbia,Juventus FC,6.96
Federico Chiesa,26,Left Winger,Italy,Juventus FC,37.45
Kenan Yıldız,19,Second Striker,Türkiye,Juventus FC,32.1
Dušan Vlahović,24,Centre-Forward,Serbia,Juventus FC,69.55
Moise Kean,24,Centre-Forward,Italy,Juventus FC,14.98
Arkadiusz Milik,30,Centre-Forward,Poland,Juventus FC,6.42
Marco Carnesecchi,23,Goalkeeper,Italy,Atalanta BC,17.12
Juan Musso,30,Goalkeeper,Argentina,Atalanta BC,5.35
Francesco Rossi,33,Goalkeeper,Italy,Atalanta BC,0.11
Giorgio Scalvini,20,Centre-Back,Italy,Atalanta BC,48.15
Isak Hien,25,Centre-Back,Sweden,Atalanta BC,21.4
Berat Djimsiti,31,Centre-Back,Albania,Atalanta BC,10.7
Sead Kolasinac,31,Centre-Back,Bosnia-Herzegovina,Atalanta BC,10.7
Rafael Tolói,33,Centre-Back,Italy,Atalanta BC,2.67
Giovanni Bonfanti,21,Centre-Back,Italy,Atalanta BC,1.07
José Luis Palomino,34,Centre-Back,Argentina,Atalanta BC,0.75
Marten de Roon,33,Defensive Midfield,Netherlands,Atalanta BC,7.49
Éderson,24,Central Midfield,Brazil,Atalanta BC,42.8
Mario Pasalic,29,Central Midfield,Croatia,Atalanta BC,13.91
Michel Adopo,23,Central Midfield,France,Atalanta BC,1.07
Emil Holm,24,Right Midfield,Sweden,Atalanta BC,12.84
Davide Zappacosta,32,Right Midfield,Italy,Atalanta BC,6.42
Hans Hateboer,30,Right Midfield,Netherlands,Atalanta BC,3.75
Matteo Ruggeri,21,Left Midfield,Italy,Atalanta BC,21.4
Mitchel Bakker,24,Left Midfield,Netherlands,Atalanta BC,6.96
Teun Koopmeiners,26,Attacking Midfield,Netherlands,Atalanta BC,53.5
Charles De Ketelaere,23,Attacking Midfield,Belgium,Atalanta BC,36.38
Aleksey Miranchuk,28,Attacking Midfield,Russia,Atalanta BC,10.7
Ademola Lookman,26,Second Striker,Nigeria,Atalanta BC,42.8
Gianluca Scamacca,25,Centre-Forward,Italy,Atalanta BC,37.45
El Bilal Touré,22,Centre-Forward,Mali,Atalanta BC,21.4
Mile Svilar,24,Goalkeeper,Serbia,AS Roma,9.63
Rui Patrício,36,Goalkeeper,Portugal,AS Roma,1.07
Pietro Boer,22,Goalkeeper,Italy,AS Roma,0.16
Evan Ndicka,24,Centre-Back,Cote d'Ivoire,AS Roma,26.75
Gianluca Mancini,28,Centre-Back,Italy,AS Roma,26.75
Dean Huijsen,19,Centre-Back,Spain,AS Roma,10.7
Diego Llorente,30,Centre-Back,Spain,AS Roma,7.49
Chris Smalling,34,Centre-Back,England,AS Roma,2.67
Angeliño,27,Left-Back,Spain,AS Roma,8.56
Leonardo Spinazzola,31,Left-Back,Italy,AS Roma,4.28
Rasmus Kristensen,26,Right-Back,Denmark,AS Roma,10.7
Zeki Çelik,27,Right-Back,Türkiye,AS Roma,6.42
Rick Karsdorp,29,Right-Back,Netherlands,AS Roma,5.35
Bryan Cristante,29,Defensive Midfield,Italy,AS Roma,21.4
Leandro Paredes,29,Defensive Midfield,Argentina,AS Roma,8.56
Edoardo Bove,22,Central Midfield,Italy,AS Roma,19.26
Houssem Aouar,25,Central Midfield,Algeria,AS Roma,10.7
Renato Sanches,26,Central Midfield,Portugal,AS Roma,6.96
Nicola Zalewski,22,Left Midfield,Poland,AS Roma,12.84
Lorenzo Pellegrini,28,Attacking Midfield,Italy,AS Roma,26.75
Tommaso Baldanzi,21,Attacking Midfield,Italy,AS Roma,16.05
Stephan El Shaarawy,31,Left Winger,Italy,AS Roma,5.35
Paulo Dybala,30,Second Striker,Argentina,AS Roma,21.4
Tammy Abraham,26,Centre-Forward,England,AS Roma,32.1
Romelu Lukaku,31,Centre-Forward,Belgium,AS Roma,32.1
Sardar Azmoun,29,Centre-Forward,Iran,AS Roma,8.56
Lukasz Skorupski,33,Goalkeeper,Poland,Bologna FC 1909,3.75
Federico Ravaglia,24,Goalkeeper,Italy,Bologna FC 1909,1.07
Nicola Bagnolini,20,Goalkeeper,Italy,Bologna FC 1909,0.21
Riccardo Calafiori,22,Centre-Back,Italy,Bologna FC 1909,32.1
Sam Beukema,25,Centre-Back,Netherlands,Bologna FC 1909,19.26
Jhon Lucumí,26,Centre-Back,Colombia,Bologna FC 1909,18.19
Mihajlo Ilić,21,Centre-Back,Serbia,Bologna FC 1909,4.28
Adama Soumaoro,32,Centre-Back,France,Bologna FC 1909,2.14
Victor Kristiansen,21,Left-Back,Denmark,Bologna FC 1909,16.05
Tommaso Corazza,19,Left-Back,Italy,Bologna FC 1909,1.07
Charalampos Lykogiannis,30,Left-Back,Greece,Bologna FC 1909,1.07
Stefan Posch,27,Right-Back,Austria,Bologna FC 1909,14.98
Lorenzo De Silvestri,36,Right-Back,Italy,Bologna FC 1909,0.43
Nikola Moro,26,Defensive Midfield,Croatia,Bologna FC 1909,5.35
Oussama El Azzouzi,23,Defensive Midfield,Morocco,Bologna FC 1909,2.67
Giovanni Fabbian,21,Central Midfield,Italy,Bologna FC 1909,14.98
Michel Aebischer,27,Central Midfield,Switzerland,Bologna FC 1909,9.63
Kacper Urbanski,19,Central Midfield,Poland,Bologna FC 1909,7.49
Remo Freuler,32,Central Midfield,Switzerland,Bologna FC 1909,6.96
Lewis Ferguson,24,Attacking Midfield,Scotland,Bologna FC 1909,25.68
Jesper Karlsson,25,Left Winger,Sweden,Bologna FC 1909,8.56
Riccardo Orsolini,27,Right Winger,Italy,Bologna FC 1909,17.12
Dan Ndoye,23,Right Winger,Switzerland,Bologna FC 1909,14.98
Alexis Saelemaekers,24,Right Winger,Belgium,Bologna FC 1909,12.84
Joshua Zirkzee,23,Centre-Forward,Netherlands,Bologna FC 1909,53.5
Santiago Castro,19,Centre-Forward,Argentina,Bologna FC 1909,12.84
Jens Odgaard,25,Centre-Forward,Denmark,Bologna FC 1909,4.82
Oliver Christensen,25,Goalkeeper,Denmark,ACF Fiorentina,3.21
Pietro Terracciano,34,Goalkeeper,Italy,ACF Fiorentina,2.67
Tommaso Martinelli,18,Goalkeeper,Italy,ACF Fiorentina,1.07
Tommaso Vannucchi,17,Goalkeeper,Italy,ACF Fiorentina,0.43
Nikola Milenković,26,Centre-Back,Serbia,ACF Fiorentina,16.05
Lucas Martínez Quarta,28,Centre-Back,Argentina,ACF Fiorentina,16.05
Luca Ranieri,25,Centre-Back,Italy,ACF Fiorentina,8.56
Pietro Comuzzo,19,Centre-Back,Italy,ACF Fiorentina,0.75
Fabiano Parisi,23,Left-Back,Italy,ACF Fiorentina,10.16
Cristiano Biraghi,31,Left-Back,Italy,ACF Fiorentina,3.75
Michael Kayode,19,Right-Back,Italy,ACF Fiorentina,26.75
Dodô,25,Right-Back,Brazil,ACF Fiorentina,18.19
Davide Faraoni,32,Right-Back,Italy,ACF Fiorentina,1.6
Arthur Melo,27,Defensive Midfield,Brazil,ACF Fiorentina,16.05
Rolando Mandragora,26,Defensive Midfield,Italy,ACF Fiorentina,9.1
Maxime López,26,Defensive Midfield,France,ACF Fiorentina,8.03
Gaetano Castrovilli,27,Central Midfield,Italy,ACF Fiorentina,7.49
Alfred Duncan,31,Central Midfield,Ghana,ACF Fiorentina,4.28
Giacomo Bonaventura,34,Central Midfield,Italy,ACF Fiorentina,3.21
Gino Infantino,21,Central Midfield,Argentina,ACF Fiorentina,3.21
Antonín Barák,29,Attacking Midfield,Czech Republic,ACF Fiorentina,4.82
Christian Kouamé,26,Left Winger,Cote d'Ivoire,ACF Fiorentina,8.03
Riccardo Sottil,25,Left Winger,Italy,ACF Fiorentina,6.42
Nicolás González,26,Right Winger,Argentina,ACF Fiorentina,37.45
Jonathan Ikoné,26,Right Winger,France,ACF Fiorentina,10.7
Lucas Beltrán,23,Centre-Forward,Argentina,ACF Fiorentina,17.12
M'Bala Nzola,27,Centre-Forward,Angola,ACF Fiorentina,7.49
Andrea Belotti,30,Centre-Forward,Italy,ACF Fiorentina,5.35
Ivan Provedel,30,Goalkeeper,Italy,SS Lazio,14.98
Christos Mandas,22,Goalkeeper,Greece,SS Lazio,3.21
Luigi Sepe,33,Goalkeeper,Italy,SS Lazio,0.54
Alessio Romagnoli,29,Centre-Back,Italy,SS Lazio,16.05
Nicolò Casale,26,Centre-Back,Italy,SS Lazio,14.98
Mario Gila,23,Centre-Back,Spain,SS Lazio,13.91
Patric,31,Centre-Back,Spain,SS Lazio,4.28
Luca Pellegrini,25,Left-Back,Italy,SS Lazio,3.75
Adam Marusic,31,Right-Back,Montenegro,SS Lazio,5.35
Elseid Hysaj,30,Right-Back,Albania,SS Lazio,2.67
Nicolò Rovella,22,Defensive Midfield,Italy,SS Lazio,19.26
Danilo Cataldi,29,Defensive Midfield,Italy,SS Lazio,5.88
Mattéo Guendouzi,25,Central Midfield,France,SS Lazio,26.75
Luis Alberto,31,Central Midfield,Spain,SS Lazio,11.77
Matías Vecino,32,Central Midfield,Uruguay,SS Lazio,2.67
Manuel Lazzari,30,Right Midfield,Italy,SS Lazio,4.28
Daichi Kamada,27,Attacking Midfield,Japan,SS Lazio,19.26
André Anderson,24,Attacking Midfield,Italy,SS Lazio,0.43
Mattia Zaccagni,29,Left Winger,Italy,SS Lazio,21.4
Saná Fernandes,18,Left Winger,Portugal,SS Lazio,0.86
Gustav Isaksen,23,Right Winger,Denmark,SS Lazio,12.84
Felipe Anderson,31,Right Winger,Brazil,SS Lazio,8.56
Pedro,36,Right Winger,Spain,SS Lazio,1.07
Diego González,21,Right Winger,Paraguay,SS Lazio,1.07
Cristiano Lombardi,28,Right Winger,Italy,SS Lazio,0.11
Taty Castellanos,25,Centre-Forward,Argentina,SS Lazio,16.05
Ciro Immobile,34,Centre-Forward,Italy,SS Lazio,4.28
Vanja Milinković-Savić,27,Goalkeeper,Serbia,Torino FC,5.35
Mihai Popa,23,Goalkeeper,Romania,Torino FC,0.86
Luca Gemello,23,Goalkeeper,Italy,Torino FC,0.32
Pietro Passador,21,Goalkeeper,Italy,Torino FC,0.11
Alessandro Buongiorno,25,Centre-Back,Italy,Torino FC,37.45
Perr Schuurs,24,Centre-Back,Netherlands,Torino FC,26.75
Matteo Lovato,24,Centre-Back,Italy,Torino FC,4.28
Ricardo Rodríguez,31,Centre-Back,Switzerland,Torino FC,3.75
Saba Sazonov,22,Centre-Back,Georgia,Torino FC,3.0
Koffi Djidji,31,Centre-Back,Cote d'Ivoire,Torino FC,2.67
Adam Masina,30,Left-Back,Morocco,Torino FC,1.6
Raoul Bellanova,24,Right-Back,Italy,Torino FC,16.05
Samuele Ricci,22,Defensive Midfield,Italy,Torino FC,23.54
Adrien Tamèze,30,Defensive Midfield,Cameroon,Torino FC,5.35
Ivan Ilić,23,Central Midfield,Serbia,Torino FC,19.26
Karol Linetty,29,Central Midfield,Poland,Torino FC,3.75
Gvidas Gineitis,20,Central Midfield,Lithuania,Torino FC,2.14
Valentino Lazaro,28,Left Midfield,Austria,Torino FC,3.75
Mërgim Vojvoda,29,Left Midfield,Kosovo,Torino FC,3.21
Nikola Vlašić,26,Attacking Midfield,Croatia,Torino FC,10.7
Uros Kabic,20,Right Winger,Serbia,Torino FC,1.07
Duván Zapata,33,Centre-Forward,Colombia,Torino FC,8.56
Antonio Sanabria,28,Centre-Forward,Paraguay,Torino FC,7.49
Pietro Pellegri,23,Centre-Forward,Italy,Torino FC,3.21
David Okereke,26,Centre-Forward,Nigeria,Torino FC,2.57
Josep Martínez,26,Goalkeeper,Spain,Genoa CFC,8.56
Nicola Leali,31,Goalkeeper,Italy,Genoa CFC,0.64
Franz Stolz,23,Goalkeeper,Austria,Genoa CFC,0.21
Simone Calvani,19,Goalkeeper,Italy,Genoa CFC,0.16
Daniele Sommariva,26,Goalkeeper,Italy,Genoa CFC,0.11
Koni De Winter,22,Centre-Back,Belgium,Genoa CFC,12.84
Johan Vásquez,25,Centre-Back,Mexico,Genoa CFC,10.7
Alan Matturro,19,Centre-Back,Uruguay,Genoa CFC,4.28
Mattia Bani,30,Centre-Back,Italy,Genoa CFC,2.67
Giorgio Cittadini,22,Centre-Back,Italy,Genoa CFC,2.57
Alessandro Vogliacco,25,Centre-Back,Italy,Genoa CFC,2.14
Aarón Martín,27,Left-Back,Spain,Genoa CFC,5.35
Ridgeciano Haps,31,Left-Back,Suriname,Genoa CFC,0.96
Djed Spence,23,Right-Back,England,Genoa CFC,8.56
Stefano Sabelli,31,Right-Back,Italy,Genoa CFC,1.6
Emil Bohinen,25,Defensive Midfield,Norway,Genoa CFC,1.93
Milan Badelj,35,Defensive Midfield,Croatia,Genoa CFC,0.86
Morten Frendrup,23,Central Midfield,Denmark,Genoa CFC,16.05
Morten Thorsby,28,Central Midfield,Norway,Genoa CFC,3.21
Kevin Strootman,34,Central Midfield,Netherlands,Genoa CFC,0.86
Ruslan Malinovskyi,31,Attacking Midfield,Ukraine,Genoa CFC,8.56
Junior Messias,33,Right Winger,Brazil,Genoa CFC,2.67
Albert Gudmundsson,27,Second Striker,Iceland,Genoa CFC,32.1
Mateo Retegui,25,Centre-Forward,Italy,Genoa CFC,17.12
Vitinha,24,Centre-Forward,Portugal,Genoa CFC,14.98
David Ankeye,22,Centre-Forward,Nigeria,Genoa CFC,2.14
Caleb Ekuban,30,Centre-Forward,Ghana,Genoa CFC,1.6
Michele Di Gregorio,26,Goalkeeper,Italy,AC Monza,19.26
Alessandro Sorrentino,22,Goalkeeper,Italy,AC Monza,0.86
Stefano Gori,28,Goalkeeper,Italy,AC Monza,0.54
Andrea Carboni,23,Centre-Back,Italy,AC Monza,4.28
Pablo Marí,30,Centre-Back,Spain,AC Monza,3.75
Armando Izzo,32,Centre-Back,Italy,AC Monza,2.67
Luca Caldirola,33,Centre-Back,Italy,AC Monza,1.39
Davide Bettella,24,Centre-Back,Italy,AC Monza,1.07
Danilo D'Ambrosio,35,Centre-Back,Italy,AC Monza,1.07
Samuele Birindelli,24,Right-Back,Italy,AC Monza,3.75
Pedro Pereira,26,Right-Back,Portugal,AC Monza,1.6
Giulio Donati,34,Right-Back,Italy,AC Monza,0.32
Matteo Pessina,27,Central Midfield,Italy,AC Monza,16.05
Warren Bondo,20,Central Midfield,France,AC Monza,6.42
Roberto Gagliardini,30,Central Midfield,Italy,AC Monza,3.21
José Machín,27,Central Midfield,Equatorial Guinea,AC Monza,1.07
Jean-Daniel Akpa Akpro,31,Central Midfield,Cote d'Ivoire,AC Monza,1.07
Patrick Ciurria,29,Right Midfield,Italy,AC Monza,4.28
Georgios Kyriakopoulos,28,Left Midfield,Greece,AC Monza,3.75
Andrea Colpani,25,Attacking Midfield,Italy,AC Monza,19.26
Valentín Carboni,19,Attacking Midfield,Argentina,AC Monza,16.05
Daniel Maldini,22,Attacking Midfield,Italy,AC Monza,4.82
Samuele Vignato,20,Attacking Midfield,Italy,AC Monza,3.75
Matija Popovic,18,Attacking Midfield,Serbia,AC Monza,2.14
Alessio Zerbin,25,Left Winger,Italy,AC Monza,4.28
Papu Gómez,36,Left Winger,Argentina,AC Monza,0.0
Gianluca Caprari,30,Second Striker,Italy,AC Monza,4.28
Lorenzo Colombo,22,Centre-Forward,Italy,AC Monza,6.42
Dany Mota,26,Centre-Forward,Portugal,AC Monza,5.35
Milan Djuric,34,Centre-Forward,Bosnia-Herzegovina,AC Monza,1.6
Maduka Okoye,24,Goalkeeper,Nigeria,Udinese Calcio,4.28
Marco Silvestri,33,Goalkeeper,Italy,Udinese Calcio,1.07
Daniele Padelli,38,Goalkeeper,Italy,Udinese Calcio,0.16
Nehuén Pérez,24,Centre-Back,Argentina,Udinese Calcio,13.91
Jaka Bijol,25,Centre-Back,Slovenia,Udinese Calcio,10.7
Thomas Kristensen,22,Centre-Back,Denmark,Udinese Calcio,4.82
Enzo Ebosse,25,Centre-Back,Cameroon,Udinese Calcio,2.67
Lautaro Giannetti,30,Centre-Back,Argentina,Udinese Calcio,2.67
João Ferreira,23,Centre-Back,Portugal,Udinese Calcio,2.14
Christian Kabasele,33,Centre-Back,Belgium,Udinese Calcio,1.07
Antonio Tikvić,20,Centre-Back,Croatia,Udinese Calcio,0.75
James Abankwah,20,Centre-Back,Ireland,Udinese Calcio,0.32
Jordan Zemura,24,Left-Back,Zimbabwe,Udinese Calcio,5.35
Hassane Kamara,30,Left-Back,Cote d'Ivoire,Udinese Calcio,4.82
Kingsley Ehizibue,29,Right-Back,Netherlands,Udinese Calcio,2.35
Walace,29,Defensive Midfield,Brazil,Udinese Calcio,6.42
Lazar Samardžić,22,Central Midfield,Serbia,Udinese Calcio,21.4
Sandi Lovric,26,Central Midfield,Slovenia,Udinese Calcio,8.56
Martín Payero,25,Central Midfield,Argentina,Udinese Calcio,4.82
Oier Zarraga,25,Central Midfield,Spain,Udinese Calcio,2.14
Roberto Pereyra,33,Central Midfield,Argentina,Udinese Calcio,2.14
Festy Ebosele,21,Right Midfield,Ireland,Udinese Calcio,6.42
David Pejičić,17,Attacking Midfield,Slovenia,Udinese Calcio,1.07
Florian Thauvin,31,Right Winger,France,Udinese Calcio,3.21
Lorenzo Lucca,23,Centre-Forward,Italy,Udinese Calcio,12.84
Brenner,24,Centre-Forward,Brazil,Udinese Calcio,7.49
Keinan Davis,26,Centre-Forward,England,Udinese Calcio,3.21
Isaac Success,28,Centre-Forward,Nigeria,Udinese Calcio,2.67
Gerard Deulofeu,30,Centre-Forward,Spain,Udinese Calcio,1.07
Alessio Cragno,29,Goalkeeper,Italy,US Sassuolo,1.6
Andrea Consigli,37,Goalkeeper,Italy,US Sassuolo,0.86
Gianluca Pegolo,43,Goalkeeper,Italy,US Sassuolo,0.11
Mattia Viti,22,Centre-Back,Italy,US Sassuolo,5.35
Marash Kumbulla,24,Centre-Back,Albania,US Sassuolo,4.82
Martin Erlić,26,Centre-Back,Croatia,US Sassuolo,3.21
Ruan Tressoldi,25,Centre-Back,Brazil,US Sassuolo,2.67
Gian Marco Ferrari,32,Centre-Back,Italy,US Sassuolo,1.5
Josh Doig,22,Left-Back,Scotland,US Sassuolo,6.42
Marcus Pedersen,23,Right-Back,Norway,US Sassuolo,5.88
Jeremy Toljan,29,Right-Back,Germany,US Sassuolo,3.75
Filippo Missori,20,Right-Back,Italy,US Sassuolo,1.6
Daniel Boloca,25,Defensive Midfield,Italy,US Sassuolo,7.49
Luca Lipani,19,Defensive Midfield,Italy,US Sassuolo,4.28
Uroš Račić,26,Defensive Midfield,Serbia,US Sassuolo,2.67
Matheus Henrique,26,Central Midfield,Brazil,US Sassuolo,9.1
Pedro Obiang,32,Central Midfield,Equatorial Guinea,US Sassuolo,0.54
Kristian Thorstvedt,25,Attacking Midfield,Norway,US Sassuolo,8.56
Nedim Bajrami,25,Attacking Midfield,Albania,US Sassuolo,4.82
Cristian Volpato,20,Attacking Midfield,Italy,US Sassuolo,4.82
Armand Laurienté,25,Left Winger,France,US Sassuolo,10.7
Emil Konradsen Ceide,22,Left Winger,Norway,US Sassuolo,2.14
Domenico Berardi,29,Right Winger,Italy,US Sassuolo,10.7
Samu Castillejo,29,Right Winger,Spain,US Sassuolo,0.64
Andrea Pinamonti,25,Centre-Forward,Italy,US Sassuolo,16.05
Samuele Mulattieri,23,Centre-Forward,Italy,US Sassuolo,4.28
Grégoire Defrel,33,Centre-Forward,France,US Sassuolo,1.07
Stefano Turati,22,Goalkeeper,Italy,Frosinone Calcio,7.49
Michele Cerofolini,25,Goalkeeper,Italy,Frosinone Calcio,0.75
Pierluigi Frattali,38,Goalkeeper,Italy,Frosinone Calcio,0.11
Caleb Okoli,22,Centre-Back,Italy,Frosinone Calcio,8.56
Ilario Monterisi,22,Centre-Back,Italy,Frosinone Calcio,3.0
Kevin Bonifazi,28,Centre-Back,Italy,Frosinone Calcio,1.93
Simone Romagnoli,34,Centre-Back,Italy,Frosinone Calcio,0.86
Mateus Lusuardi,20,Centre-Back,Brazil,Frosinone Calcio,0.32
Sergio Kalaj,24,Centre-Back,Albania,Frosinone Calcio,0.21
Riccardo Marchizza,26,Left-Back,Italy,Frosinone Calcio,2.67
Emanuele Valeri,25,Left-Back,Italy,Frosinone Calcio,2.46
Anthony Oyono,23,Right-Back,Gabon,Frosinone Calcio,2.14
Pol Lirola,26,Right-Back,Spain,Frosinone Calcio,1.93
Enzo Barrenechea,23,Defensive Midfield,Argentina,Frosinone Calcio,8.03
Luca Mazzitelli,28,Central Midfield,Italy,Frosinone Calcio,4.28
Marco Brescianini,24,Central Midfield,Italy,Frosinone Calcio,3.75
Abdou Harroui,26,Central Midfield,Morocco,Frosinone Calcio,2.89
Nadir Zortea,25,Right Midfield,Italy,Frosinone Calcio,3.21
Reinier,22,Attacking Midfield,Brazil,Frosinone Calcio,3.75
Luca Garritano,30,Attacking Midfield,Italy,Frosinone Calcio,1.28
Francesco Gelli,27,Attacking Midfield,Italy,Frosinone Calcio,1.07
İsak Vural,18,Attacking Midfield,Türkiye,Frosinone Calcio,0.21
Arijon Ibrahimovic,18,Left Winger,Germany,Frosinone Calcio,4.28
Giuseppe Caso,25,Left Winger,Italy,Frosinone Calcio,1.6
Jaime Báez,29,Left Winger,Uruguay,Frosinone Calcio,0.96
Giorgi Kvernadze,21,Left Winger,Georgia,Frosinone Calcio,0.86
Soufiane Bidaoui,34,Left Winger,Morocco,Frosinone Calcio,0.21
Matías Soulé,21,Right Winger,Argentina,Frosinone Calcio,26.75
Demba Seck,23,Right Winger,Senegal,Frosinone Calcio,2.14
Farès Ghedjemis,21,Right Winger,France,Frosinone Calcio,0.64
Walid Cheddira,26,Centre-Forward,Morocco,Frosinone Calcio,6.42
Kaio Jorge,22,Centre-Forward,Brazil,Frosinone Calcio,4.28
Marvin Cuni,22,Centre-Forward,Albania,Frosinone Calcio,0.96
Wladimiro Falcone,29,Goalkeeper,Italy,US Lecce,5.35
Federico Brancolini,22,Goalkeeper,Italy,US Lecce,0.21
Alexandru Borbei,20,Goalkeeper,Romania,US Lecce,0.16
Jasper Samooja,20,Goalkeeper,Finland,US Lecce,0.08
Marin Pongracic,26,Centre-Back,Croatia,US Lecce,7.49
Federico Baschirotto,27,Centre-Back,Italy,US Lecce,6.42
Ahmed Touba,26,Centre-Back,Algeria,US Lecce,1.71
Kastriot Dermaku,32,Centre-Back,Albania,US Lecce,0.27
Patrick Dorgu,19,Left-Back,Denmark,US Lecce,12.84
Antonino Gallo,24,Left-Back,Italy,US Lecce,4.82
Valentin Gendrey,24,Right-Back,France,US Lecce,7.49
Lorenzo Venuti,29,Right-Back,Italy,US Lecce,1.28
Ylber Ramadani,28,Defensive Midfield,Albania,US Lecce,4.28
Alexis Blin,27,Defensive Midfield,France,US Lecce,3.21
Joan González,22,Central Midfield,Spain,US Lecce,4.82
Mohamed Kaba,22,Central Midfield,France,US Lecce,3.75
Hamza Rafia,25,Central Midfield,Tunisia,US Lecce,1.82
Daniel Samek,20,Central Midfield,Czech Republic,US Lecce,1.28
Medon Berisha,20,Central Midfield,Albania,US Lecce,1.07
Rémi Oudin,27,Attacking Midfield,France,US Lecce,3.75
Lameck Banda,23,Left Winger,Zambia,US Lecce,6.42
Nicola Sansone,32,Left Winger,Italy,US Lecce,1.07
Pontus Almqvist,24,Right Winger,Sweden,US Lecce,3.21
Santiago Pierotti,23,Right Winger,Argentina,US Lecce,2.67
Jeppe Corfitzen,19,Right Winger,Denmark,US Lecce,0.43
Nikola Krstovic,24,Centre-Forward,Montenegro,US Lecce,6.42
Roberto Piccoli,23,Centre-Forward,Italy,US Lecce,4.28
Rareș Burnete,20,Centre-Forward,Romania,US Lecce,0.75
Simone Scuffet,28,Goalkeeper,Italy,Cagliari Calcio,2.67
Boris Radunović,28,Goalkeeper,Serbia,Cagliari Calcio,1.07
Simone Aresti,38,Goalkeeper,Italy,Cagliari Calcio,0.08
Alberto Dossena,25,Centre-Back,Italy,Cagliari Calcio,5.35
Adam Obert,21,Centre-Back,Slovakia,Cagliari Calcio,3.75
Mateusz Wieteska,27,Centre-Back,Poland,Cagliari Calcio,3.21
Yerry Mina,29,Centre-Back,Colombia,Cagliari Calcio,3.21
Pantelis Hatzidiakos,27,Centre-Back,Greece,Cagliari Calcio,2.67
Tommaso Augello,29,Left-Back,Italy,Cagliari Calcio,2.14
Paulo Azzi,29,Left-Back,Brazil,Cagliari Calcio,1.07
Gabriele Zappa,24,Right-Back,Italy,Cagliari Calcio,2.67
Alessandro Di Pardo,24,Right-Back,Italy,Cagliari Calcio,0.96
Matteo Prati,20,Defensive Midfield,Italy,Cagliari Calcio,10.7
Antoine Makoumbou,25,Defensive Midfield,Congo,Cagliari Calcio,4.82
Ibrahim Sulemana,21,Defensive Midfield,Ghana,Cagliari Calcio,4.28
Nahitan Nández,28,Central Midfield,Uruguay,Cagliari Calcio,5.35
Alessandro Deiola,28,Central Midfield,Italy,Cagliari Calcio,2.03
Nicolas Viola,34,Central Midfield,Italy,Cagliari Calcio,0.86
Jakub Jankto,28,Left Midfield,Czech Republic,Cagliari Calcio,1.28
Gianluca Gaetano,24,Attacking Midfield,Italy,Cagliari Calcio,6.42
Gaetano Oristanio,21,Attacking Midfield,Italy,Cagliari Calcio,4.28
Marco Mancosu,35,Attacking Midfield,Italy,Cagliari Calcio,0.43
Zito Luvumbo,22,Centre-Forward,Angola,Cagliari Calcio,8.03
Eldor Shomurodov,28,Centre-Forward,Uzbekistan,Cagliari Calcio,5.35
Andrea Petagna,28,Centre-Forward,Italy,Cagliari Calcio,4.07
Gianluca Lapadula,34,Centre-Forward,Peru,Cagliari Calcio,1.6
Leonardo Pavoletti,35,Centre-Forward,Italy,Cagliari Calcio,0.86
Lorenzo Montipò,28,Goalkeeper,Italy,Hellas Verona,3.75
Simone Perilli,29,Goalkeeper,Italy,Hellas Verona,0.21
Mattia Chiesa,23,Goalkeeper,Italy,Hellas Verona,0.11
Alessandro Berardi,33,Goalkeeper,Italy,Hellas Verona,0.05
Diego Coppola,20,Centre-Back,Italy,Hellas Verona,6.42
Giangiacomo Magnani,28,Centre-Back,Italy,Hellas Verona,3.21
Paweł Dawidowicz,29,Centre-Back,Poland,Hellas Verona,3.21
Juan Cabal,23,Left-Back,Colombia,Hellas Verona,3.75
Rúben Vinagre,25,Left-Back,Portugal,Hellas Verona,2.57
Fabien Centonze,28,Right-Back,France,Hellas Verona,3.21
Jackson Tchatchoua,22,Right-Back,Cameroon,Hellas Verona,3.21
Reda Belahyane,20,Defensive Midfield,France,Hellas Verona,0.54
Charlys,20,Defensive Midfield,Brazil,Hellas Verona,0.11
Joselito,20,Defensive Midfield,Spain,Hellas Verona,0.08
Michael Folorunsho,26,Central Midfield,Italy,Hellas Verona,9.1
Suat Serdar,27,Central Midfield,Germany,Hellas Verona,5.35
